path	sentence
common_voice_id_19376931.mp3	jaket ini praktis karena sakunya ada banyak
common_voice_id_19376932.mp3	iya mendengarkan musik di kamarnya
common_voice_id_19376933.mp3	Iya masih mencari kerja di Malang
common_voice_id_19376934.mp3	Saya khawatir akan kesehatan
common_voice_id_19376935.mp3	Dia terlihat lelah malam ini
common_voice_id_19376936.mp3	kamu mengambil kunci yang salah
common_voice_id_19376937.mp3	suara itu sangat mengganggu
common_voice_id_19376938.mp3	Aku akan membantu saat kamu dalam masalah
common_voice_id_19376939.mp3	Mari kita beristirahat sebentar di dekat sini
common_voice_id_19424182.mp3	itu tadi menarik ya
common_voice_id_19424188.mp3	kejujuran bukan jaminan sukses
common_voice_id_19424189.mp3	dia mengajak Tom pergi memancing
common_voice_id_19424190.mp3	orang yang disana mungkin pak Yamada
common_voice_id_19424191.mp3	Pagi ini saya menonton acara berita di televisi
common_voice_id_19424192.mp3	Dia memiliki banyak untang
common_voice_id_19450098.mp3	dia naik taksi ke museum
common_voice_id_19450099.mp3	Lebih baik aku mati daripada aku pergi
common_voice_id_19450100.mp3	omong-omong malam ini ada waktu
common_voice_id_19450101.mp3	besok saya bertemu dengan teman di stasiun dan bersama-sama pergi ke konser
common_voice_id_19450102.mp3	Jane terlihat bahagia
common_voice_id_19462330.mp3	rencana kita telah gagal
common_voice_id_19462331.mp3	Tom mungkin tidak akan pernah menjadi terkenal
common_voice_id_19462332.mp3	Saya ingin pergi ke luar negeri Suatu Hari Nanti
common_voice_id_19462333.mp3	Pak Matsui tinggal di kota yang tenang
common_voice_id_19462335.mp3	ibu dan ayah memberikan aku sepeda
common_voice_id_19480747.mp3	Saya sudah makan siang di kantin
common_voice_id_19480748.mp3	saya akan datang lagi nanti
common_voice_id_19480749.mp3	Tolong berikan saya kartu kredit
common_voice_id_19480750.mp3	alam itu kejam
common_voice_id_19480752.mp3	suara pesawat pun terdengar
common_voice_id_19487402.mp3	aku tidak bisa mengatakan itu
common_voice_id_19487403.mp3	kau mulai bernyanyi
common_voice_id_19487404.mp3	sebagian orang suka kopi sebagian lagi suka teh
common_voice_id_19487405.mp3	gorden tertarik dengan gaya hidup Jepang
common_voice_id_19487406.mp3	Aku bekerja disini aku bukanlah seorang tamu
common_voice_id_19487410.mp3	tidak ada kelas hari ini
common_voice_id_19487411.mp3	kamu kadang-kadang telat pulang ke rumah
common_voice_id_19487412.mp3	Dia mempunyai 10 anak
common_voice_id_19487413.mp3	Disini sangat dingin karena suhunya 0 derajat
common_voice_id_19487414.mp3	ada semangka di atas kepalamu
common_voice_id_19487421.mp3	dia meninggal kemarin
common_voice_id_19487422.mp3	Dia memutuskan untuk berhenti merokok
common_voice_id_19487424.mp3	Om pasti tahu jika aku pernah di sini
common_voice_id_19487425.mp3	Mengapa kamu menangis
common_voice_id_19487426.mp3	sudah lama Sejak saya mengunjungi nenek saya
common_voice_id_19487433.mp3	api telah padam dan ruangan itu menjadi dingin
common_voice_id_19487434.mp3	engsel pintu tersebut rusak
common_voice_id_19487435.mp3	saya menghadiri pesta hanya untuk bersosialisasi
common_voice_id_19487436.mp3	saya mencuci tangan
common_voice_id_19487437.mp3	tidak semua burung bisa terbang
common_voice_id_19487438.mp3	berapa buah roti yang Anda beli
common_voice_id_19487439.mp3	pada awalnya aku tidak tahu
common_voice_id_19487440.mp3	kami berangkat besok siang
common_voice_id_19487441.mp3	suami ibu kobayashi bekerja di rumah sakit
common_voice_id_19487442.mp3	Saya ingin menolongnya tetapi saya tidak tahu bagaimana caranya
common_voice_id_19487448.mp3	karena kemarin sangat dingin saya masuk angin
common_voice_id_19487449.mp3	karena gambarnya gelap saya menyalakan lampu
common_voice_id_19487450.mp3	mau kamu suka atau tidak kamu harus tetap melakukannya
common_voice_id_19487451.mp3	di atas meja ada berapa buah gelas
common_voice_id_19487452.mp3	saya sering pergi ke kedai kopi itu dengan Pak Kimura
common_voice_id_19487458.mp3	ada pohon ceri di setiap sisi jalan
common_voice_id_19487459.mp3	bila anda ingin belajar bahasa dengan baik pelajarilah sendiri
common_voice_id_19487460.mp3	kamu harus belajar bahasa Jepang lebih giat
common_voice_id_19487461.mp3	Ken mengoleksi uang-uang kuno
common_voice_id_19487462.mp3	kalau besok cerah Mari kita bermain tenis
common_voice_id_19487468.mp3	kalau pergi kunci pintu ya
common_voice_id_19487470.mp3	kau mungkin pergi keluar untuk membeli air
common_voice_id_19487471.mp3	kamu tidak mempercayai kita
common_voice_id_19487472.mp3	pelajaran guru mana yang paling menarik
common_voice_id_19487561.mp3	Jangan takut untuk mencoba
common_voice_id_19487563.mp3	hal ini tidak akan pernah berakhir
common_voice_id_19487565.mp3	Aku cinta kamu saya tidak akan mengucapkan kata semacam itu
common_voice_id_19487566.mp3	saya menyetujui usulnya
common_voice_id_19487567.mp3	aku tidak mampu menahan lebih lama lagi
common_voice_id_19522983.mp3	10 menit lagi pukul 5
common_voice_id_19522984.mp3	kita hanya punya 3 jam
common_voice_id_19522986.mp3	itu sepertinya menyenangkan ya
common_voice_id_19523002.mp3	Aku ingin tahu apa itu
common_voice_id_19523003.mp3	foto meninggal akibat rabies setelah digigit kelelawar
common_voice_id_19523004.mp3	aku merasa lelah
common_voice_id_19523005.mp3	dia meninggal sebagai seorang wanita yang bahagia
common_voice_id_19523006.mp3	Aku bayashi mempunyai payung biru
common_voice_id_19597202.mp3	Tom telah digigit oleh seekor ular
common_voice_id_19597203.mp3	umur dia Hampir 40 tahun
common_voice_id_19597204.mp3	namun akhirnya Apa yang kamu lakukan
common_voice_id_19597205.mp3	tidak semua buku yang di atas meja saya
common_voice_id_19611907.mp3	Besok saya akan menelepon Pak Li
common_voice_id_19611908.mp3	Tuhan dan iblis itu mengagumkan
common_voice_id_19611909.mp3	saya bukan gaya tapi pacar saya gay
common_voice_id_19611910.mp3	karena sakit kepala Malam ini saya tidur awal
common_voice_id_19635470.mp3	pesawat terbang cepat dan praktis
common_voice_id_19635472.mp3	Saya ingin main
common_voice_id_19635476.mp3	meja dan kursi
common_voice_id_19635479.mp3	saya menelepon rumah tetapi tidak ada siapa-siapa
common_voice_id_19635481.mp3	dong tidak tahu banyak tentang Indonesia
common_voice_id_19647849.mp3	Saya tidak yakin tapi dia mungkin datang
common_voice_id_19647850.mp3	pura-pura adil sekalipun hatimu tak mampu
common_voice_id_19647851.mp3	dia bertanya Bagaimana cara memasak ikan
common_voice_id_19647852.mp3	jika rumahku tidak ada tepung
common_voice_id_19647853.mp3	kita hanya membuang waktu
common_voice_id_19647869.mp3	jarak minum susu sapi karena tidak suka
common_voice_id_19647870.mp3	sudah makan
common_voice_id_19647871.mp3	semua orang dipersilahkan
common_voice_id_19647872.mp3	sistem makan buah apa
common_voice_id_19647873.mp3	dia ngotot mengatakan bahwa analisanya Tefa
common_voice_id_19647900.mp3	mengemis meski hanya 3 hari akan menjadi kebiasaan
common_voice_id_19647902.mp3	jalan-jalan setiap pagi
common_voice_id_19647903.mp3	kereta tersebut terguling
common_voice_id_19647906.mp3	Apakah dia tahu apa yang kamu lakukan
common_voice_id_19647907.mp3	pasar Kalimati
common_voice_id_19647934.mp3	Kami Perlu bicara dengan anda
common_voice_id_19647935.mp3	anjing dibuat akan menggonggong pada orang asing
common_voice_id_19647936.mp3	Niki tidak ikut pelatih Marine
common_voice_id_19647937.mp3	menunggu dan menunggu
common_voice_id_19647938.mp3	berpikir Kenapa yang harus diselesaikan
common_voice_id_19647957.mp3	air dalam tangki tinggal sedikit mungkin juga habis
common_voice_id_19647958.mp3	saya selalu ada Simpati begitu melihat dirinya
common_voice_id_19647959.mp3	kipas yang diperbaiki
common_voice_id_19647960.mp3	jadilah tamuku
common_voice_id_19647961.mp3	Hari ini saya makan malam di restoran
common_voice_id_19647982.mp3	enaknya Kapan Berkelana
common_voice_id_19647983.mp3	cara mengeluarkan kunci dari sakunya
common_voice_id_19647984.mp3	mereka tidak suka berjoget
common_voice_id_19647985.mp3	saya memotong kertas ini dari atas ke bawah
common_voice_id_19647986.mp3	orang yang berambut hitam itu Pak Matsui
common_voice_id_19648007.mp3	aku kenal anak yang paling dekat dengan pintu
common_voice_id_19648008.mp3	lebaran itu bisa didapatkan dengan gratis
common_voice_id_19648009.mp3	Pattimura kadang-kadang membuat makan malam
common_voice_id_19648010.mp3	dia selalu telat sekolah
common_voice_id_19648040.mp3	Kamu terlihat sedang sedih
common_voice_id_19648042.mp3	pesawat terbang ke selatan
common_voice_id_19648044.mp3	tambah 3 anak sendirian
common_voice_id_19648045.mp3	cara-cara saat penuh
common_voice_id_19648048.mp3	Terima kasih atas kerja kerasmu
common_voice_id_19648176.mp3	Apakah Mary sudah mulai
common_voice_id_19648177.mp3	melihat yang menyebrang jalan
common_voice_id_19648178.mp3	ya kau tak malu lakukanlah kamu
common_voice_id_19648179.mp3	masuk adanya saya coba
common_voice_id_19648180.mp3	saya siap
common_voice_id_19648449.mp3	dia mengambil pelajaran piano seminggu sekali
common_voice_id_19648450.mp3	kamu ada di Facebook sana
common_voice_id_19648451.mp3	Hai juga bekerja pada hari Minggu
common_voice_id_19648452.mp3	berapa mulai
common_voice_id_19648453.mp3	silakan
common_voice_id_19648514.mp3	namamu berada pada daftar di atas
common_voice_id_19648515.mp3	dia tahu cara mengajar bahasa
common_voice_id_19648516.mp3	Bagaimana situasi kita
common_voice_id_19648517.mp3	tadi ada masalah di sekolah
common_voice_id_19648518.mp3	umur yang terlalu tua tidaklah membahagiakan
common_voice_id_19648524.mp3	pantang menyerah salah satu kunci sukses
common_voice_id_19648525.mp3	kamus ini tidak begitu bagus
common_voice_id_19648526.mp3	ini bukan lelucon
common_voice_id_19648527.mp3	hobinya adalah binaraga
common_voice_id_19648528.mp3	kantin ada di bangunan itu
common_voice_id_19652961.mp3	membuat kuah makanan cepat saji
common_voice_id_19652963.mp3	Mengapa kalian tidak ingin menyuruhku membawanya
common_voice_id_19652964.mp3	Mari menyeberang di sini
common_voice_id_19652966.mp3	Angkat tanganmu
common_voice_id_19652968.mp3	kakekku meninggal karena bosan
common_voice_id_19652986.mp3	di rumah Pak hayati ada seekor kucing
common_voice_id_19652987.mp3	Apakah anda ingin makan disini atau membawa pulang makan di sini
common_voice_id_19652991.mp3	kami tidak punya banyak masalah
common_voice_id_19652993.mp3	kamu tidak berusaha melindungi dirinya sendiri
common_voice_id_19652995.mp3	lusa saya akan pergi berenang ke laut
common_voice_id_19653071.mp3	bahasa Say merupakan bahasa negara Thailand
common_voice_id_19653076.mp3	saya merasa sedih tanpa alasan
common_voice_id_19653081.mp3	kedai kopi itu ada di sebelah toko buku
common_voice_id_19653085.mp3	kapal itu mengangkut bahan mentah dari Indonesia
common_voice_id_19653087.mp3	orang itu kakinya kurus dan panjang
common_voice_id_19668011.mp3	Carissa Lela kota tercantik di dunia
common_voice_id_19668012.mp3	dia harus datang ke rumahmu setelah 1 jam
common_voice_id_19668013.mp3	Pattimura memberikan kue kepada saya
common_voice_id_19668014.mp3	di bawah kursi ada kucing
common_voice_id_19668015.mp3	dia yang berpikir telah Cukup belajar maka dia tidak belajar apapun
common_voice_id_19675702.mp3	bilang dia ingin belajar bahasa Prancis
common_voice_id_19675703.mp3	about membunuh marry
common_voice_id_19675704.mp3	Saya dapat menemukan rumahnya dengan mudah
common_voice_id_19675705.mp3	tidak ada radio pada saat itu
common_voice_id_19675707.mp3	Siapakah pria itu
common_voice_id_19678870.mp3	Saya tidak mau gula
common_voice_id_19678873.mp3	Saya dengar Pak Yamada bulan depan pergi ke Tokyo
common_voice_id_19678875.mp3	Tom tidak seharusnya mengucapkan perkataan itu
common_voice_id_19678877.mp3	tentu saja tidur di tempat kami akan lebih murah bagi anda
common_voice_id_19678878.mp3	saya berikan surat ini padamu
common_voice_id_19678909.mp3	saya mau yang ini
common_voice_id_19678910.mp3	setiap Jumat dia pergi ke masjid di awal waktu
common_voice_id_19678911.mp3	hari ini saya datang terlambat
common_voice_id_19678913.mp3	password saya hilang
common_voice_id_19678915.mp3	saya ada teman orang Thailand
common_voice_id_19678940.mp3	mutlak bahwa kamu dibutuhkan dalam rapat
common_voice_id_19678942.mp3	bencana itu tidak datang tanpa sebab
common_voice_id_19678945.mp3	Kimura sangat pandai
common_voice_id_19678946.mp3	yang coklat punya saya juga
common_voice_id_19678949.mp3	di rumah Pak hayashi ada anjing dan kucing
common_voice_id_19679079.mp3	Saya kira kita mau pergi ke suatu tempat
common_voice_id_19679080.mp3	jangan minum air dari gelas kotor itu
common_voice_id_19679081.mp3	Apa yang bisa aku lakukan untuk kamu
common_voice_id_19679082.mp3	Seandainya saya tahu alamatnya
common_voice_id_19679084.mp3	Saya lebih suka ikan dibandingkan daging
common_voice_id_19685317.mp3	di depan rumah ada taman
common_voice_id_19685318.mp3	ini alamat email saya
common_voice_id_19685319.mp3	kita teman sekelas
common_voice_id_19685320.mp3	Saya pulang ke negara asal saat libur musim panas
common_voice_id_19685321.mp3	majalah ini menarik
common_voice_id_19685340.mp3	tarian dari Brazil
common_voice_id_19685341.mp3	saya pemimpin regu
common_voice_id_19685342.mp3	tapi sekarang
common_voice_id_19685343.mp3	batal itu dapat didaur ulang
common_voice_id_19685344.mp3	Tom YouTube
common_voice_id_19698289.mp3	rumah baru saya sangat mudah dijangkau karena dekat Stasiun
common_voice_id_19698290.mp3	Saya mengerti bahwa hal itu tidak mudah bagi anda
common_voice_id_19698291.mp3	pintu lemari tersebut terbuka
common_voice_id_19698292.mp3	Australia lebih kecil daripada Amerika Selatan
common_voice_id_19698293.mp3	Saya belajar sejak tahun lalu
common_voice_id_19699833.mp3	karena soalnya sulit Saya tidak bisa menjawab
common_voice_id_19699834.mp3	baca musiknya dengan pipinya
common_voice_id_19699835.mp3	Saya ingin menjadi aktif
common_voice_id_19699836.mp3	Iya masih di sini
common_voice_id_19699837.mp3	
common_voice_id_19699851.mp3	saya pulang ke rumah
common_voice_id_19699854.mp3	saya menerima tawaran anda
common_voice_id_19699855.mp3	adik perempuan saya berumur 4 tahun
common_voice_id_19699856.mp3	
common_voice_id_19699857.mp3	kamus murah
common_voice_id_19721826.mp3	Berapa orang yang ikut bepergian
common_voice_id_19721827.mp3	Saya harap kamu tidak akan merokok terlalu banyak
common_voice_id_19721828.mp3	sepertinya cuciannya tak akan selesai malam ini
common_voice_id_19721829.mp3	aku minum air
common_voice_id_19721830.mp3	ketika musim panas datang Hawa menjadi panas
common_voice_id_19721836.mp3	Indonesia negara terbesar di Asia Tenggara
common_voice_id_19721837.mp3	tidak boleh membuka pintu di situ
common_voice_id_19721838.mp3	Tanaka bukan murid
common_voice_id_19721839.mp3	karena tidak ada kereta untuk pulang saya menginap di rumah teman
common_voice_id_19721840.mp3	makanan itu enak sekali
common_voice_id_19748936.mp3	stasiun kereta ada dimana
common_voice_id_19748937.mp3	Bangunkan aku jam 8
common_voice_id_19748938.mp3	jangan terlalu sensitif terhadap sebuah kliping
common_voice_id_19748939.mp3	mau mengirimkan sebuah pesan pendek yang sangat menarik untukku
common_voice_id_19748940.mp3	ketika babi dapat terbang
common_voice_id_19748946.mp3	ini dibeli dengan kartu
common_voice_id_19748947.mp3	Dapatkah saya melihat akun Anda
common_voice_id_19748948.mp3	Saya akan bekerja sedikit lagi lalu pulang
common_voice_id_19748950.mp3	besok pagi kami ada kelas
common_voice_id_19748951.mp3	kalau menangis seperti anak kecil
common_voice_id_19748976.mp3	untuk memahami budaya Jepang secara penuh Anda harus mempelajari bahasa Jepang
common_voice_id_19748977.mp3	kobayashi sangat pintar
common_voice_id_19748978.mp3	Awas ada lubang di jalanan
common_voice_id_19748979.mp3	beberapa temanku bisa bahasa Inggris dengan baik
common_voice_id_19748980.mp3	setiap bulan saya menyimpan uang di bank
common_voice_id_19748996.mp3	maaf Pak tadi saya sudah jalan
common_voice_id_19748998.mp3	Meri selalu membantu pacarnya mengerjakan tugas
common_voice_id_19748999.mp3	jika anda mencari informasi tentang pergerakan esperanto di Indonesia silakan kunjungi halaman web nya
common_voice_id_19749000.mp3	Saya suka menulis ratusan kalimat ditato lebar namun ada beberapa hal yang harus kulakukan
common_voice_id_19773606.mp3	ada toko hewan
common_voice_id_19773607.mp3	Kiamat Sudah Dekat
common_voice_id_19773609.mp3	Saya pikir itu ide yang bagus
common_voice_id_19773611.mp3	Dia berkata pada dirinya sendiri Aku Pasti Bisa
common_voice_id_19783753.mp3	Siapa orang itu
common_voice_id_19783754.mp3	uang akan habis kalau membeli mobil
common_voice_id_19783755.mp3	Bisa tukar ini ke dolar Amerika
common_voice_id_19783756.mp3	berikutnya akan ditayangkan berita lokal
common_voice_id_19783757.mp3	Benarkah Mengapa
common_voice_id_19783758.mp3	Di mana mereka
common_voice_id_19783759.mp3	untungnya dia telah terbebas dari hutang
common_voice_id_19783760.mp3	di taman banyak bunga cantik bermekaran
common_voice_id_19783761.mp3	Tom memakai jas hujan
common_voice_id_19783762.mp3	Tidakkah kamu menyesal membuat tato itu
common_voice_id_19783763.mp3	nah mari kita mulai
common_voice_id_19783764.mp3	Tom akhirnya bertemu dengan Merry
common_voice_id_19783765.mp3	jangan merokok di ruangan ini
common_voice_id_19783766.mp3	Oh nama kebebasan yang indah
common_voice_id_19783767.mp3	dia dipercayai tidak bersalah
common_voice_id_19783768.mp3	Aku menunggu balasanmu ya
common_voice_id_19783769.mp3	Apakah kamu tinggal di sini
common_voice_id_19783770.mp3	Singa adalah seekor hewan
common_voice_id_19783771.mp3	saya lupa nama saudara Lelakimu siapa namanya
common_voice_id_19783772.mp3	semua yang telah hadir adalah orang Jepang
common_voice_id_19783773.mp3	saya mulai malam ini
common_voice_id_19783774.mp3	saat ini tidak ada lagi yang perlu saya kerjakan
common_voice_id_19783775.mp3	ibu dan ayah saya tidak di rumah sekarang
common_voice_id_19785558.mp3	tempat penjualan kaos kaki ada di lantai 1
common_voice_id_19785559.mp3	Ibu saya suka memasak
common_voice_id_19785560.mp3	boleh makan nasi kotak di kamar ini
common_voice_id_19785561.mp3	anjing kami benar-benar lucu
common_voice_id_19785562.mp3	Hari ini saya tidak sarapan
common_voice_id_19785588.mp3	anda berada di jalan saya
common_voice_id_19785589.mp3	tampaknya dia telah meninggalkan Tokyo kemarin
common_voice_id_19785590.mp3	Kamu mau pergi ke mana duluan
common_voice_id_19785591.mp3	di kota saya tidak ada sekolah untuk belajar bahasa esperanto
common_voice_id_19785592.mp3	Selamat ulang tahun Nona Iba
common_voice_id_19785603.mp3	Bagaimana kalau kita pergi jalan-jalan bersama
common_voice_id_19785604.mp3	di sana ada orang kan orang itu siapa
common_voice_id_19785605.mp3	belajar melukis bersama teman
common_voice_id_19785606.mp3	Kenapa orang selalu terlalu sini
common_voice_id_19785607.mp3	Saya minta maaf
common_voice_id_19785616.mp3	ibunya guru bahasa Inggris
common_voice_id_19785617.mp3	minggu depan Kakak laki-laki Pak Li datang bermain ke Jepang
common_voice_id_19785618.mp3	Kemarin saya menerima suratnya
common_voice_id_19785620.mp3	Dimana alamat kantor mu yang sekarang
common_voice_id_19785622.mp3	kita belajar dari pengalaman bahwa kita tidak pernah belajar apapun dari pengalaman
common_voice_id_19800500.mp3	bahasa Cina saya kurang bagus
common_voice_id_19800501.mp3	orang Jepang makan nasi dengan sumpit
common_voice_id_19800502.mp3	setelah jalan-jalan di taman saya pulang ke rumah
common_voice_id_19800503.mp3	tinggalkan aku sendiri sekarang
common_voice_id_19800504.mp3	Apakah Anda membeli sesuatu untuk dimakan
common_voice_id_19800505.mp3	kita menyia-nyiakan minyak
common_voice_id_19800506.mp3	Apakah 1000 jam cukup
common_voice_id_19800507.mp3	Mengapa kamu tidak ikut memancing dengan kami akan minggu ini jika kamu tidak sibuk
common_voice_id_19800508.mp3	Saya ingin topi seperti ini
common_voice_id_19800509.mp3	kamu menikahi perempuan yang lebih muda dari dirinya
common_voice_id_19800515.mp3	Saya benar-benar suka bahasa Jepang
common_voice_id_19800516.mp3	kamu percaya padaku
common_voice_id_19800517.mp3	orang laki-laki itu badannya tinggi dan kakinya panjang
common_voice_id_19800518.mp3	Mari makan malam sebelum ke pertandingan resma
common_voice_id_19800519.mp3	Malam ini saya menunggu Pak obayashi di stasiun
common_voice_id_19800525.mp3	jadilah diri sendiri
common_voice_id_19800527.mp3	di Jepang bisa mengendarai mobil Mulai umur 18 tahun
common_voice_id_19800528.mp3	saya hampir saja ditabrak mobil
common_voice_id_19800529.mp3	ada baiknya tidak salah bicara
